code1c	date	item_code	item_name	price	summa
00БП-000271	03.07.2020 16:35:06	БП-00000069	Бумага А4, 500 л	230	1 150
00БП-000271	03.07.2020 16:35:06	БП-00000058	Папка файл А4 100 шт	214.38	214.38
00БП-000271	03.07.2020 16:35:06	БП-00000416	Папка-конверт	16.83	16.83
00БП-000271	03.07.2020 16:35:06	БП-00000068	Ручка шариковая	56.29	112.58
00БП-000271	03.07.2020 16:35:06	БП-00000064	Скобы для степлера 24*6	15.93	79.65
00БП-000271	03.07.2020 16:35:06	БП-00000417	Гель для рук антисептический	296.89	296.89
00БП-000271	03.07.2020 16:35:06	БП-00000133	Мешки д/мусор	21.22	21.22
00БП-000271	03.07.2020 16:35:06	БП-00000418	Лоток вертикальный  д/бумаг	405.65	405.65
00БП-000290	31.07.2020 14:46:51	БП-00000435	Вентилятор Centek CT-5015 Grey	1 299	1 299
00БП-000291	04.08.2020 13:31:25	БП-00000014	Перчатки	29.73	891.9
00БП-000291	04.08.2020 13:31:25	БП-00000014	Перчатки	28.2	846
00БП-000291	04.08.2020 13:31:25	БП-00000395	Губки для посуды	25.42	762.6
00БП-000291	04.08.2020 13:31:25	БП-00000395	Губки для посуды	104.93	419.72
00БП-000291	04.08.2020 13:31:25	БП-00000295	Салфетка универсальная микрофибра 30*30см	94.02	282.06
00БП-000318	03.08.2020 14:40:57	БП-00000209	"Журнал  ""Главбух"""	567.8	1 135.6
00БП-000319	19.08.2020 14:49:57	БП-00000206	Вода19,2л	160	160
00БП-000320	20.08.2020 12:00:00	БП-00000261	Визитки	55	5 500
00БП-000332	24.08.2020 14:57:02	БП-00000236	Картридж	1 200	1 200
00БП-000333	25.08.2020 14:34:36	БП-00000069	Бумага А4, 500 л	273	546
00БП-000333	25.08.2020 14:34:36	БП-00000198	Заправочный тонер	790	790
00БП-000333	25.08.2020 14:34:36	БП-00000064	Скобы для степлера 24*6	15.27	45.81
00БП-000376	14.09.2020 16:49:28	БП-00000209	"Журнал  ""Главбух"""	567.8	1 135.6
00БП-000377	18.09.2020 17:27:47	БП-00000060	Блок для записей в подставке	87.18	87.18
00БП-000377	18.09.2020 17:27:47	БП-00000069	Бумага А4, 500 л	263.7	1 318.5
00БП-000377	18.09.2020 17:27:47	БП-00000050	Корзина для бумаг сетчатая, 9л, черная	154.08	154.08
00БП-000377	18.09.2020 17:27:47	БП-00000314	Ластик	15.23	45.69
00БП-000377	18.09.2020 17:27:47	БП-00000314	Ластик	15.23	30.46
00БП-000377	18.09.2020 17:27:47	БП-00000067	Линейка 30см	31.06	93.18
00БП-000377	18.09.2020 17:27:47	БП-00000061	Ножницы	104.6	104.6
00БП-000377	18.09.2020 17:27:47	БП-00000058	Папка файл А4 100 шт	150.82	452.46
00БП-000377	18.09.2020 17:27:47	БП-00000068	Ручка шариковая	10.26	205.2
00БП-000377	18.09.2020 17:27:47	БП-00000296	Салфетка влажные 50 шт.	55.53	222.12
00БП-000377	18.09.2020 17:27:47	БП-00000295	Салфетка универсальная микрофибра 30*30см	199.43	199.43
00БП-000377	18.09.2020 17:27:47	БП-00000443	Сахар-рафинад	57.78	57.78
00БП-000377	18.09.2020 17:27:47	БП-00000444	Чай	230.34	230.34
00БП-000377	18.09.2020 17:27:47	БП-00000052	Чайник SONNEN KT-118 1,8 л	673.82	673.82
00БП-000404	14.09.2020 16:49:29	БП-00000206	Вода19,2л	160	160
00БП-000405	30.09.2020 16:15:17	БП-00000206	Вода19,2л	160	320
00БП-000406	29.09.2020 12:32:49	БП-00000456	Тепловентилятор PECAHTA ТВС-1 2000Вт белый	805	805
00БП-000406	29.09.2020 12:32:49	БП-00000064	Скобы для степлера 24*6	33.58	134.32
00БП-000406	29.09.2020 12:32:49	БП-00000231	Скрепки	35.59	71.18
00БП-000417	01.10.2020 16:33:55	БП-00000460	Батарейка	146.95	146.95
00БП-000417	01.10.2020 16:33:55	БП-00000389	Бейдж	17.9	358
00БП-000417	01.10.2020 16:33:55	БП-00000359	Доска пробковая 60*90	2 282.7	2 282.7
00БП-000417	01.10.2020 16:33:55	БП-00000197	Закладки	55.92	55.92
00БП-000417	01.10.2020 16:33:55	БП-00000166	Заправочный тонер	689	1 378
00БП-000417	01.10.2020 16:33:55	БП-00000443	Сахар-рафинад	52	156
00БП-000417	01.10.2020 16:33:55	БП-00000131	Кнопки	73.25	73.25
00БП-000417	01.10.2020 16:33:55	БП-00000444	Чай	253.9	253.9
00БП-000417	01.10.2020 16:33:55	БП-00000444	Чай	217.9	217.9
00БП-000417	01.10.2020 16:33:55	БП-00000124	Клей-карандаш	96.68	386.72
00БП-000417	01.10.2020 16:33:55	БП-00000461	Грамота	28.73	28.73
00БП-000417	01.10.2020 16:33:55	БП-00000461	Грамота	32.38	32.38
00БП-000417	01.10.2020 16:33:55	БП-00000461	Грамота	32.38	32.38
00БП-000417	01.10.2020 16:33:55	БП-00000461	Грамота	27.51	27.51
00БП-000417	01.10.2020 16:33:55	БП-00000461	Грамота	26.81	26.81
00БП-000450	12.10.2020 17:15:47	БП-00000209	"Журнал  ""Главбух"""	567.8	1 135.6
